# Converted from eigencrow/IBMTTSDictionaries US-English files.
# Source data is CC0-1.0. Columns: spelling, kind, priority:value.
acariform	phonetic	fallback:AXk'EYrIXf"AArm
acarine	phonetic	fallback:'AEkAXr"IYn
acarinology	phonetic	fallback:"AEkAXrIXn'AAlAXdZHIY
acarinoses	phonetic	fallback:"AEkAXrIXn'OWsIYz
acarinosis	phonetic	fallback:"AEkAXrIXn'OWsIXs
acarioses	phonetic	fallback:AXk"EYrIY'OWsIYz
acariosis	phonetic	fallback:AXk"EYrIY'OWsIXs
acarodermatitis	phonetic	fallback:"AEkAXrOWd"ERmAXt'AYDXIXs
acarophobe	phonetic	fallback:'AEkERAXf"OWb
acarophobia	phonetic	fallback:"AEkAXrAXf'OWbIYAX
acarophobic	phonetic	fallback:"AEkAXrAXf'OWbIXk
acarpous	phonetic	fallback:"EYk'AArpAXs
acatalasia	phonetic	fallback:"EYk"AEDXAXl'EYZHAX
acatalectic	phonetic	fallback:"EYk"AEDXAXl'EHktIXk
acatalepsy	phonetic	fallback:"EYk'AEDXAXl"EHpsIY
acataleptic	phonetic	fallback:"EYk"AEDXAXl'EHptIXk
acatharsy	phonetic	fallback:'AEkAXTH"AArsIY
acathisia	phonetic	fallback:"AEkAXTH'IHzIYAX
acathistus	phonetic	fallback:"AEkAXTH'IHstAXs
acatholic	phonetic	fallback:"EYk'AETHlIXk
acatholicism	phonetic	fallback:"EYk'AETHlIXs"IHzAXm
acatry	phonetic	fallback:AXk'EYtrIY
acaudal	phonetic	fallback:"EYk'AADXAXl
acaudate	phonetic	fallback:"EYk'AAd"EYt
acaulescence	phonetic	fallback:"EYk"AAl'EHsIXns
acaulescent	phonetic	fallback:"EYk"AAl'EHsIXnt
acauline	phonetic	fallback:"EYk'AAl"AYn
acaulose	phonetic	fallback:"EYk'AAl"OWs
acaulous	phonetic	fallback:"EYk'AAlIXs
acausal	phonetic	fallback:"EYk'AAzAXl
acause	phonetic	fallback:AXk'AHz
acb	text	override:ay cea bea
accad	phonetic	fallback:'AEk"AEd
accedence	phonetic	fallback:AXks'IYDXIXns
acceleratory	phonetic	fallback:AXks'EHlAXrAXt"AArIY
accelerogram	phonetic	fallback:AXks'EHlAXrAXgr"AEm
accelerograph	phonetic	fallback:AXks'EHlAXrAXgr"AEf
acceptation	phonetic	fallback:AXks"EHpt'EYSHIXn
accessary	phonetic	fallback:AXks'EHsAXrIY
accesskey	phonetic	fallback:'AEks"EHshkIY
accha	phonetic	fallback:'AEtSHAX
acciaccatura	phonetic	fallback:AXtSH"AAkAXt'UWrAX
accidentality	phonetic	fallback:"AEksIXDXIXnt'AElIXDXIY
accidentology	phonetic	fallback:"AEksIXDXIXnt'AAlAXdZHIY
accinge	phonetic	fallback:AXks'IHndZH
accio	phonetic	fallback:'AEkIYOW
accipiter	phonetic	fallback:AXks'IHpIXDXER
accipitrine	phonetic	fallback:AXks'IHpIXtr"AYn
accius	phonetic	fallback:'AEkSHIYAXs
acclimatisation	phonetic	fallback:AXkl"AYmAXDXIXz'EYSHIXn
acclimatise	phonetic	fallback:AXkl'AYmAXt"AYz
acclimatization	phonetic	fallback:AXkl"AYmAXDXIXz'EYSHIXn
acclimatize	phonetic	fallback:AXkl'AYmAXt"AYz
acclimatory	phonetic	fallback:AXkl'AYmAXt"AArIY
acclimature	phonetic	fallback:AXkl'AYmAXtSHER
acclivity	phonetic	fallback:AXkl'IHvIXDXIY
acclivous	phonetic	fallback:AXkl'AYvAXs
accompagnato	phonetic	fallback:AXk"AAmpAXny'AADXOW
accompanimental	phonetic	fallback:AXk"AHmpAXnIYm'EHntAXl
accompli	phonetic	fallback:AXk"AAmpl'IY
accomplis	phonetic	fallback:AXk"AAmpl'IYz
accouchement	phonetic	fallback:AXk'UWSHmIXnt
accoucheur	phonetic	fallback:"AEkIXSH'UWr
accoucheuse	phonetic	fallback:"AEkIXSH'UWz
accrete	phonetic	fallback:AXkr'IYt
accreted	phonetic	fallback:AXkr'IYDXIXd
accreting	phonetic	fallback:AXkr'IYDXIHNG
accretive	phonetic	fallback:AXkr'IYDXIXv
accretor	phonetic	fallback:AXkr'IYDXER
accroach	phonetic	fallback:AXkr'OWtSH
accroides	phonetic	fallback:AXkr'OYDX"IYz
ACCU	phonetic	override:'AEkyUW
accumulable	phonetic	fallback:AXky'UWmyIXlAXbAXl
accursed	phonetic	fallback:AXk'ERsIXd
accurst	phonetic	fallback:AXk'ERst
accusal	phonetic	fallback:AXky'UWzAXl
accusant	phonetic	fallback:AXky'UWzIXnt
accusatival	phonetic	fallback:AXky"UWzAXt'AYvAXl
accusator	phonetic	fallback:AXky'UWzAXDXER
accusatorial	phonetic	fallback:AXky"UWzAXt'AArIYAXl
accusatorially	phonetic	fallback:AXky"UWzAXt'AArIYAXlIY
accusatorily	phonetic	fallback:AXky'UWzAXt"AArIXlIY
accusatory	phonetic	fallback:AXky'UWzAXt"AArIY
accusatrix	phonetic	fallback:AXky'UWzAXtr"IHks
accusive	phonetic	fallback:AXky'UWzIXv
accusonus	phonetic	fallback:"AEkyUWs'OWnAXs
accusor	phonetic	fallback:AXky'UWzER
accustomedness	phonetic	fallback:AXk'AHstAXmdnIXs
accuweather	phonetic	override:'AEkyUWw"EHDHER
acebutolol	phonetic	fallback:"AEsIXby'UWDXAXl"AAl
acediamine	phonetic	fallback:"AEsAXd'AYAXm"IYn
acefast	phonetic	fallback:'EYsf"AEst
acefit	phonetic	fallback:'EYsf"IHt
aceh	phonetic	fallback:'AAtSHEY
acehnese	phonetic	fallback:"AAtSHIXn'IYz
aceldama	phonetic	fallback:AXs'EHldAXmAX
acemagic	phonetic	fallback:"EYsm'AEdZHIXk
acemagician	phonetic	fallback:"EYsmAXdZH'IHSHAXn
acenaphthene	phonetic	fallback:"AEsIXn'AEfTH"IYn
acenesthesia	phonetic	fallback:"EYs"IYnIXsTH'IYZHAX
acentric	phonetic	fallback:"EYs'EHntrIXk
acephal	phonetic	fallback:"EYs'EHfAXl
acephala	phonetic	fallback:"EYs'EHfAXlAX
acephalan	phonetic	fallback:"EYs'EHfAXlIXn
acephalgic	phonetic	fallback:"EYsIXf'AEldZHIXk
acephali	phonetic	fallback:"EYs'EHfAXl"AY
acephalia	phonetic	fallback:"EYsIXf'EYlIYAX
acephalian	phonetic	fallback:"EYsIXf'EYlIYIXn
acephalic	phonetic	fallback:"EYsIXf'AElIXk
acephalisis	phonetic	fallback:"EYs"EHfAXl'AYsIXs
acephalite	phonetic	fallback:"EYs'EHfAXl"AYt
acephalocyst	phonetic	fallback:"EYs'EHfAXlAXsIXst
acephalocystic	phonetic	fallback:"EYs"EHfAXlAXs'IHstIXk
acephalous	phonetic	fallback:"EYs'EHfAXlAXs
acephalus	phonetic	fallback:"EYs'EHfAXlAXs
acephaly	phonetic	fallback:"EYs'EHfAXlIY
acepromazine	phonetic	fallback:"AEsIXpr'AAmAXz"IYn
acequia	phonetic	fallback:AXs'EYkIYAX
acerebral	phonetic	fallback:"EYsAXr'IYbrAXl
acerose	phonetic	fallback:'AEsAXrOWs
acerval	phonetic	fallback:AXs'ERvAXl
acervuli	phonetic	fallback:AXs'ERvyIXl"AY
acervuline	phonetic	fallback:AXs'ERvAXlIXn
acesulfame	phonetic	fallback:"AEsIXs'AHlf"EYm
acesulphame	phonetic	fallback:"AEsIXs'AHlf"EYm
aceta	phonetic	fallback:AXs'IYDXAX
acetable	phonetic	fallback:'AEsIXDXAXbAXl
acetabuliform	phonetic	fallback:"AEsIXt'AEbyIXlIXf"AArm
acetabuloplasty	phonetic	fallback:"AEsIXt'AEbyIXlOWpl"AEstIY
acetal	phonetic	fallback:'AEsIXt"AEl
acetaldehyde	phonetic	fallback:"AEsIXt'AEldIXh"AYd
acetaldol	phonetic	fallback:"AEsIXt'AEld"AAl
acetaminophen	phonetic	fallback:AXs"IYDXAXm'IHnAXfIXn
acetanilid	phonetic	fallback:"AEsIXt'AEnIXlIXd
acetaniline	phonetic	fallback:"AEsAXt'AEnIXlIXn
acetarsone	phonetic	fallback:"AEsIXt'AArs"OWn
acetazolamide	phonetic	fallback:AXs"IYDXAXz'OWlAXm"AYd
acetic	phonetic	fallback:AXs'IYDXIXk
acetification	phonetic	fallback:AXs"IYDXIXfIXk'EYSHIXn
acetify	phonetic	fallback:AXs'IYDXIXf"AY
acetimeter	phonetic	fallback:"AEsIXt'IHmIXDXER
acetimetry	phonetic	fallback:"AEsIXt'IHmIXtrIY
acetoacetate	phonetic	fallback:AXs"IYtOW'AEsIXt"EYt
acetoacetic	phonetic	fallback:AXs"IYDXOWAXs'IYDXIXk
acetobacter	phonetic	fallback:AXs'IYDXOWb"AEktER
acetochlor	phonetic	fallback:AXs'IYDXOWkl"AAr
acetogen	phonetic	fallback:AXs'IYDXAXdZHIXn
acetogenesis	phonetic	fallback:AXs"IYDXAXdZH'EHnIXsIXs
acetogenic	phonetic	fallback:AXs"IYDXAXdZH'EHnIXk
acetohexamide	phonetic	fallback:AXs"IYDXOWh'EHksAXm"AYd
acetohydroxamic	phonetic	fallback:AXs"IYDXOWh"AYdrAAks'AEmIXk
acetoin	phonetic	fallback:AXs'EHtOWIXn
acetokinase	phonetic	fallback:"AEsIXDXOWk'AYn"EYs
acetol	phonetic	fallback:'AEsIXt"AAl
acetolyses	phonetic	fallback:"AEsIXt'AAlIXsIYz
acetomeroctol	phonetic	fallback:AXs"IYDXOWmAXr'AAkt"OWl
acetometer	phonetic	fallback:"AEsIXt'AAmIXDXER
acetonaemia	phonetic	fallback:"AEsIXDXOWn'IYmIYAX
acetonaemic	phonetic	fallback:"AEsAXDXOWn'IYmIXk
acetonamine	phonetic	fallback:"AEsIXt'OWnAXm"IYn
